"Report Name: My Account Performance Report"
"Report Time: 10/1/2020,11/7/2020"
"Time Zone: Various"
"Last Completed Available Day: 11/6/2020 9:05:00 PM (GMT)"
"Last Completed Available Hour: 11/6/2020 9:05:00 PM (GMT)"
"Report Aggregation: Daily"
"Report Filter: "
"Potential Incomplete Data: true"
"Rows: 501"

"TimePeriod","AccountNumber","AccountName","Impressions","Clicks","Spend"
"2020-10-26","F1071RW6","Lenovo Switzerland Direct","2033","114","88.96"
"2020-10-26","F1074ELB","Lenovo Finland Direct","338","31","6.23"
"2020-10-26","F107DTZT","Lenovo Sweden Direct","1611","104","35.16"
"2020-10-26","F107MVC9","Lenovo Ireland Direct","972","68","22.28"
"2020-10-26","F107P4UT","Lenovo UK Direct","10827","537","331.61"
"2020-10-26","X0006AXW","Bing Lenovo NL","1881","165","108.45"
"2020-10-26","X000XGAU","Bing Lenovo DK","406","52","8.45"
"2020-10-26","X7004130","Lenovo Austria Direct","1388","61","12.51"
"2020-10-26","X8349003","Lenovo France Direct","10263","724","553.24"
"2020-10-27","B004295N","Lenovo Belgium","580","110","92.81"
"2020-10-27","B004ETLE","Lenovo Italy","3529","485","125.38"
"2020-10-27","B004SUHL","Lenovo Norway","236","33","3.89"
"2020-10-27","B004V7BM","Lenovo Spain","8795","652","262.40"
"2020-10-27","F1071RW6","Lenovo Switzerland Direct","1860","114","85.61"
"2020-10-27","F1074ELB","Lenovo Finland Direct","342","24","11.21"
"2020-10-27","F107DTZT","Lenovo Sweden Direct","1408","72","29.24"
"2020-10-27","F107MVC9","Lenovo Ireland Direct","1052","90","37.65"
"2020-10-27","F107P4UT","Lenovo UK Direct","11315","578","312.21"
"2020-10-27","X0006AXW","Bing Lenovo NL","1912","142","93.40"
"2020-10-27","X000XGAU","Bing Lenovo DK","459","47","5.63"
"2020-10-27","X7004130","Lenovo Austria Direct","1988","105","24.76"
"2020-10-27","X8349003","Lenovo France Direct","10420","732","617.00"
"2020-10-28","B004295N","Lenovo Belgium","620","129","93.63"
"2020-10-28","B004ETLE","Lenovo Italy","3750","400","118.83"
